2024-02-14 00:40:02,'719', '454', '234', '221', '242', '248'
2024-02-14 01:00:01,'717', '453', '234', '221', '241', '248'
2024-02-14 01:20:01,'719', '453', '234', '221', '242', '247'
2024-02-14 01:40:02,'719', '452', '234', '221', '242', '247'
2024-02-14 02:00:01,'720', '452', '234', '221', '242', '247'
2024-02-14 02:20:01,'719', '452', '234', '221', '242', '246'
2024-02-14 02:40:01,'720', '453', '233', '221', '241', '247'
2024-02-14 03:00:01,'720', '452', '233', '221', '242', '247'
2024-02-14 03:20:02,'720', '452', '233', '221', '241', '246'
2024-02-14 03:40:01,'719', '452', '233', '221', '241', '246'
2024-02-14 04:00:01,'719', '452', '233', '221', '240', '246'
2024-02-14 04:20:02,'719', '451', '233', '221', '241', '245'
2024-02-14 04:40:01,'719', '451', '232', '221', '241', '245'
2024-02-14 05:00:01,'719', '450', '232', '221', '240', '245'
2024-02-14 05:20:02,'717', '451', '233', '221', '241', '246'
2024-02-14 05:40:01,'719', '453', '233', '221', '241', '246'
2024-02-14 06:00:02,'719', '452', '233', '221', '241', '246'
2024-02-14 06:20:01,'719', '452', '233', '221', '241', '246'
2024-02-14 06:40:01,'719', '452', '233', '221', '242', '246'
2024-02-14 07:00:02,'719', '453', '233', '222', '242', '246'
2024-02-14 07:20:01,'719', '454', '233', '213', '242', '245'
2024-02-14 07:40:01,'716', '455', '234', '222', '244', '248'
2024-02-14 08:00:02,'718', '457', '235', '222', '243', '248'
2024-02-14 08:20:01,'717', '457', '235', '220', '244', '248'
2024-02-14 08:40:02,'719', '458', '236', '222', '244', '249'
2024-02-14 09:00:01,'717', '456', '236', '222', '244', '250'
2024-02-14 09:20:01,'717', '456', '236', '222', '244', '248'
2024-02-14 09:40:02,'717', '455', '234', '222', '244', '247'
2024-02-14 10:00:01,'717', '454', '236', '222', '244', '246'
2024-02-14 10:20:01,'717', '454', '235', '217', '244', '246'
2024-02-14 10:40:02,'717', '455', '236', '222', '244', '247'
2024-02-14 11:00:01,'717', '453', '235', '222', '244', '247'
2024-02-14 11:20:02,'719', '451', '234', '220', '242', '245'
2024-02-14 11:40:01,'717', '452', '234', '222', '241', '246'
2024-02-14 12:00:01,'717', '453', '236', '222', '244', '245'
2024-02-14 12:20:01,'718', '453', '237', '223', '245', '248'
2024-02-14 12:40:01,'716', '453', '237', '222', '245', '247'
2024-02-14 12:45:05,'1020', '448', '236', '218', '253', '278'
2024-02-14 12:46:48,'1020', '644', '571', '249', '568', '325'
2024-02-14 12:46:55,'1020', '698', '589', '253', '466', '304'
2024-02-14 12:47:00,'1020', '748', '587', '261', '584', '320'
2024-02-14 12:47:02,'1020', '797', '580', '265', '597', '326'
2024-02-14 12:47:54,'1020', '500', '246', '232', '305', '286'
2024-02-14 13:00:02,'1020', '452', '233', '218', '244', '246'
2024-02-14 13:20:01,'1020', '449', '233', '218', '242', '245'
2024-02-14 13:40:01,'1020', '449', '234', '218', '244', '246'
